adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,tipo,origin_country_x,original_name,first_air_date,name,media_type,gender,known_for_department,profile_path,titulo_unico,ano_lancamento,tamanho_sinopse,popularidade_log,nota_ponderada,vote_count_log,popularidade_categoria,generos_nomes,runtime,budget,revenue,production_countries,origin_country_y,duracao_min,pais_codigo,pais_nome,lucro,lucro_log
False,/tc7canPSAn2X14hYi6Rl3gZm1o4.jpg,"[80, 18]",549,en,,"O drama mostra o processo complicado de determinar a culpa ou a inocência, quando vidas estão em jogo. Muitas vezes inspirado pelas notícias mais recentes, o enredo destaca dilemas éticos e pessoais.",103.1672,/1Opw4Qfiza2Uk5ENZgLWVmQyzoL.jpg,,,,7.4,646,Série (Popular),['US'],Law & Order,1990-09-13,Lei & Ordem,,,,,Lei & Ordem,1990,32,4.645997300495239,0.12488635769893935,6.472346294500901,Muito Alta,"['Crime', 'Drama']",,0.0,0.0,,,,,,0.0,0.0
False,/2eIlCirgcvEwmCSYh2wDfz5Sxvz.jpg,"[18, 80, 9648]",46952,en,,"Após se entregar à polícia, um brilhante fugitivo oferece ajuda ao FBI, mas apenas se a novata Elizabeth Keen for sua parceira.",99.5151,/ziy2LUOZOA3Ob5hGZAvKXCmvwe9.jpg,,,,7.639,3416,Série (Popular),['US'],The Blacklist,2013-09-23,Lista Negra,,,,,Lista Negra,2013,22,4.610307964969135,0.6817185850880401,8.136518252115291,Muito Alta,"['Drama', 'Crime', 'Mistério']",,0.0,0.0,,,,,,0.0,0.0
False,/lgGZ2ysbRyAOi2VgIZpp6k8qILj.jpg,"[16, 35]",1434,en,,"A série animada apresenta as aventuras da família Griffin. O ignorante Peter e sua esposa Lois residem em Quahog, em Rhode Island e têm três filhos. Meg, a filha mais velha, é uma pária social, e o adolescente Chris é estranho e sem noção quando se trata do sexo oposto. O mais novo, Stewie, é um bebê gênio decidido a matar sua mãe e destruir o mundo. O cachorro falante, Brian, mantém Stewie sob controle enquanto toma martinis e resolve seus próprios problemas de vida.",100.2684,/j28XGzAhvJNGWEHbYrzvREw7kKd.jpg,,,,7.4,4716,Série (Popular),['US'],Family Guy,1999-01-31,Uma Família da Pesada,,,,,Uma Família da Pesada,1999,85,4.6177744178711055,0.9117090757092848,8.458928283284262,Muito Alta,"['Animação', 'Comédia']",,0.0,0.0,,,,,,0.0,0.0
False,/qVmgq1KXBp6BF2EqYPPaUG9iUGy.jpg,"[80, 18, 9648]",764,en,,Um investigador veterano e um jovem sargento investigam assassinatos na comunidade de Midsomer.,79.7924,/31wojXBSLT6LYTUMyc6BiyXqUyP.jpg,,,,7.5,333,Série (Popular),['GB'],Midsomer Murders,1997-03-23,Midsomer Murders,,,,,Midsomer Murders,1997,13,4.391882901697246,0.065246355608966,5.811140992976701,Alta,"['Crime', 'Drama', 'Mistério']",,0.0,0.0,,,,,,0.0,0.0
False,/65Y6PweSvQ1OOFBzStybjipURRP.jpg,"[80, 18, 9648]",4057,en,,"Um esquadrão de elite do FBI estuda as maiores mentes criminosas, antecipando seus próximos passos, antes que eles ataquem novamente. A fim de identificar as motivações dos criminosos e detê-los, cada membro da equipe usa a experiência que possui.",95.7264,/trZTeHWcWDn6adkBBuSwfIhxAJn.jpg,,,,8.305,3952,Série (Popular),['US'],Criminal Minds,2005-09-22,Mentes Criminosas,,,,,Mentes Criminosas,2005,39,4.571886374506125,0.8574470975495062,8.282230063296685,Muito Alta,"['Crime', 'Drama', 'Mistério']",,0.0,0.0,,,,,,0.0,0.0
False,/vNCNUxNHHgP0WsA19hxztUsG3yG.jpg,"[18, 10765]",225171,en,,A pessoa mais triste da Terra deve salvar o mundo da felicidade.,94.6593,/p9J7CXVI5gjkyUo6trV7m85gssW.jpg,,,,8.1,148,Série (Popular),['US'],Pluribus,2025-11-06,Pluribus,,,,,Pluribus,2025,12,4.56079292064227,0.03131825069230367,5.003946305945459,Muito Alta,"['Drama', 'Sci-Fi & Fantasy']",,0.0,0.0,,,,,,0.0,0.0
False,/vcU8hIHXuADItJSzEmt2F8IMq5l.jpg,"[10759, 18]",252193,ja,,"Conhecido um dia como o samurai invicto, Shujiro decide participar de um jogo mortal de sobrevivência para salvar sua família e seu povo no início da era Meiji.",75.9678,/wP8wvUQ1HRVzaAja2HH5r62WhUa.jpg,,,,8.073,90,Série (Popular),['JP'],イクサガミ,2025-11-13,Até o Último Samurai,,,,,Até o Último Samurai,2025,28,4.343387152573102,0.018981399237159725,4.51085950651685,Alta,"['Action & Adventure', 'Drama']",,0.0,0.0,,,,,,0.0,0.0
False,/wGI8MPfv23B80AF5Yrg1Ss2mVCp.jpg,[35],1668,en,,"Seis jovens são unidos por laços familiares, românticos e, principalmente, de amizade, enquanto tentam vingar em Nova York. Rachel é a garota mimada que deixa o noivo no altar para viver com a amiga dos tempos de escola Monica, sistemática e apaixonada pela culinária. Monica é irmã de Ross, um paleontólogo que é abandonado pela esposa, que descobriu ser lésbica. Do outro lado do corredor do apartamento de Monica e Rachel, moram Joey, um ator frustrado, e Chandler, de profissão misteriosa. A turma é completa pela exótica Phoebe. ",80.6697,/f496cm9enuEsZkSPzCwnTESEK5s.jpg,,,,8.4,8689,Série (Popular),['US'],Friends,1994-09-22,Friends,,,,,Friends,1994,88,4.402683064043981,1.9067767385965828,9.069928218259438,Alta,['Comédia'],,0.0,0.0,,,,,,0.0,0.0
False,/OwDuNYVpVsC4kBcGvniaEraUM7.jpg,"[80, 18, 9648]",72755,en,,"Emily Byrne é uma agente do FBI que assume a difícil missão de capturar um dos assassinos mais perigosos de Boston, mas, durante as investigações, ela acaba desaparecendo sem deixar pistas. Seis anos depois, ela é encontrada quase sem vida e sem memória dentro de uma cabana no meio da floresta. Ao voltar para a sua vida normal, no entanto, Emily descobre que além de seu marido ter se casado com outra mulher, levar uma vida longe de casos criminais será um sonho distante para ela.",83.3628,/t3yVaAlmCLBwbqTrKGcWHwuCmkh.jpg,,,,7.3,341,Série (Popular),['US'],Absentia,2017-09-25,Ausência,,,,,Ausência,2017,86,4.435126546145584,0.06503213334029992,5.834810737062605,Alta,"['Crime', 'Drama', 'Mistério']",,0.0,0.0,,,,,,0.0,0.0
False,/yUOFocKDW7MCC5isx4FK8A68QFp.jpg,"[9648, 10759, 18]",4607,en,,"Os sobreviventes de um voo que estava milhas fora do curso caem em uma ilha que abriga um sistema de segurança monstruoso, uma série de abrigos subterrâneos e um grupo de sobrevivencialistas violentos escondidos nas sombras.",62.1605,/3NVsXuJg8NZZxVghQ90XYugOcfG.jpg,,,,7.9,4757,Série (Popular),['US'],Lost,2004-09-22,Lost,,,,,Lost,2004,36,4.1456791057588935,0.9817728198965463,8.467582690862903,Alta,"['Mistério', 'Action & Adventure', 'Drama']",,0.0,0.0,,,,,,0.0,0.0
